short_name,long_name,player_id,player_overall,potential,age,height_cm,weight_kg,value_millions_eur,wage_thousands_eur,pace,shooting,passing,dribbling,defending,physic,player_positions,preferred_foot,nationality_name,league_name,skill_moves,weak_foot,international_reputation,club_name,team_overall,domestic_prestige,def_style,off_chance_creation,overall15,value_millions_eur15,country,image_link
R. Guerreiro,Raphaël Adelino José Guerreiro,209889,82,82,28,170,71,27.5,57.0,73.0,78.0,86.0,87.0,75.0,55.0,"LB, LM",Left,Portugal,Bundesliga,4,2,3,Borussia Dortmund,81.0,9.0,Press After Possession Loss,Forward Runs,81,24.0,Germany,https://cdn.sofifa.net/players/209/889/23_360.png
Ricardo Pereira,Ricardo Domingos Barbosa Pereira,210243,82,82,28,175,70,27.5,100.0,79.0,67.0,79.0,81.0,81.0,72.0,"RB, RWB",Right,Portugal,Premier League,3,4,3,Leicester City,79.0,6.0,Balanced,Possession,80,17.0,England,https://cdn.sofifa.net/players/210/243/23_360.png
Otávio,Otávio Edmilson da Silva Monteiro,210411,82,82,27,171,67,32.5,21.0,78.0,69.0,80.0,85.0,63.0,71.0,"RM, LM",Right,Portugal,Liga Portugal,4,3,1,Porto,78.0,10.0,Press After Possession Loss,Balanced,77,12.0,Portugal,https://cdn.sofifa.net/players/210/411/23_360.png
Gayà,José Luís Gayà Peña,211688,82,83,27,172,66,32.0,44.0,82.0,61.0,76.0,79.0,78.0,73.0,"LB, LWB",Left,Spain,La Liga,4,3,3,Valencia,76.0,7.0,Balanced,Balanced,79,14.0,Spain,https://cdn.sofifa.net/players/211/688/23_360.png
V. Grifo,Vincenzo Grifo,212096,82,82,29,180,76,30.0,43.0,74.0,79.0,81.0,82.0,40.0,63.0,"LM, CF, CAM",Right,Italy,Bundesliga,4,2,2,SC Freiburg,76.0,4.0,Balanced,Possession,77,11.5,Germany,https://cdn.sofifa.net/players/212/096/23_360.png
T. Werner,Timo Werner,212188,82,84,26,180,76,38.0,73.0,91.0,80.0,70.0,82.0,35.0,69.0,"ST, LW",Right,Germany,Bundesliga,3,4,3,RB Leipzig,81.0,8.0,Press After Possession Loss,Balanced,82,30.5,Germany,https://cdn.sofifa.net/players/212/188/23_360.png
J. Brandt,Julian Brandt,212194,82,85,26,183,83,40.0,60.0,68.0,78.0,82.0,85.0,49.0,66.0,"CAM, RM, CM",Right,Germany,Bundesliga,4,4,3,Borussia Dortmund,81.0,9.0,Press After Possession Loss,Forward Runs,80,22.0,Germany,https://cdn.sofifa.net/players/212/194/23_360.png
Anderson Talisca,Anderson Souza Conceição,212523,82,82,28,190,80,31.0,64.0,80.0,83.0,77.0,82.0,52.0,75.0,"CF, ST, CAM",Left,Brazil,Pro League,4,4,2,Al Nassr,73.0,9.0,Pressure On Heavy Touch,Forward Runs,79,17.0,Unknown,https://cdn.sofifa.net/players/212/523/23_360.png
A. Christensen,Andreas Bødtker Christensen,213661,82,86,26,188,81,37.5,145.0,68.0,32.0,66.0,70.0,84.0,74.0,CB,Right,Denmark,La Liga,2,3,2,FC Barcelona,84.0,10.0,Balanced,Possession,81,23.0,Spain,https://cdn.sofifa.net/players/213/661/23_360.png
G. Rulli,Gerónimo Rulli,215316,82,82,30,189,84,20.5,18.0,54.0,80.0,80.0,79.0,81.0,82.0,GK,Right,Argentina,Eredivisie,1,3,3,Ajax,78.0,10.0,Balanced,Possession,83,25.5,Netherlands,https://cdn.sofifa.net/players/215/316/23_360.png
G. Di Lorenzo,Giovanni Di Lorenzo,217870,82,82,28,183,83,27.5,66.0,85.0,66.0,73.0,77.0,78.0,80.0,RB,Right,Italy,Serie A,3,3,2,Napoli,80.0,9.0,Balanced,Forward Runs,64,0.5,Italy,https://cdn.sofifa.net/players/217/870/23_360.png
Angeliño,José Ángel Esmoris Tasende,220651,82,84,25,171,69,35.0,59.0,78.0,71.0,82.0,84.0,75.0,70.0,"LWB, LM",Left,Spain,Bundesliga,4,3,2,TSG Hoffenheim,76.0,5.0,Balanced,Balanced,68,1.3,Germany,https://cdn.sofifa.net/players/220/651/23_360.png
M. Locatelli,Manuel Locatelli,222077,82,86,24,185,75,40.0,37.0,62.0,70.0,80.0,78.0,78.0,79.0,"CDM, CM",Right,Italy,Serie A,3,4,2,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,74,8.5,Italy,https://cdn.sofifa.net/players/222/077/23_360.png
R. Gosens,Robin Everardus Gosens,223697,82,82,27,183,76,29.5,59.0,82.0,75.0,74.0,79.0,77.0,80.0,"LWB, LM",Left,Germany,Serie A,3,3,3,Inter,83.0,9.0,Balanced,Forward Runs,70,2.0,Italy,https://cdn.sofifa.net/players/223/697/23_360.png
David Soria,David Soria Solís,223952,82,82,29,192,85,21.0,32.0,43.0,73.0,73.0,81.0,81.0,82.0,GK,Right,Spain,La Liga,1,3,1,Getafe,77.0,5.0,Pressure On Heavy Touch,Forward Runs,73,4.4,Spain,https://cdn.sofifa.net/players/223/952/23_360.png
Borja Iglesias,Borja Iglesias Quintás,224179,82,82,29,187,86,30.5,39.0,68.0,83.0,66.0,74.0,40.0,81.0,ST,Right,Spain,La Liga,3,3,2,Real Betis,79.0,6.0,Press After Possession Loss,Possession,70,2.5,Spain,https://cdn.sofifa.net/players/224/179/23_360.png
G. Rodríguez,Guido Rodríguez,225659,82,83,27,185,80,31.0,32.0,55.0,58.0,71.0,68.0,84.0,78.0,CDM,Right,Argentina,La Liga,2,4,1,Real Betis,79.0,6.0,Press After Possession Loss,Possession,73,4.4,Spain,https://cdn.sofifa.net/players/225/659/23_360.png
A. Onana,André Onana,226753,82,85,26,190,93,30.5,59.0,61.0,86.0,86.0,80.0,80.0,81.0,GK,Right,Cameroon,Serie A,1,3,3,Inter,83.0,9.0,Balanced,Forward Runs,78,11.0,Italy,https://cdn.sofifa.net/players/226/753/23_360.png
A. Onana,André Onana,226753,82,85,26,190,93,30.5,59.0,61.0,86.0,86.0,80.0,80.0,81.0,GK,Right,Cameroon,Serie A,1,3,3,Inter,83.0,9.0,Balanced,Forward Runs,78,11.0,Italy,https://cdn.sofifa.net/players/226/753/23_360.png
I. Bennacer,Ismaël Bennacer,226754,82,86,24,175,70,40.0,63.0,77.0,68.0,80.0,86.0,77.0,76.0,"CDM, CM",Left,Algeria,Serie A,4,3,2,Milan,81.0,9.0,Pressure On Heavy Touch,Forward Runs,62,0.52,Italy,https://cdn.sofifa.net/players/226/754/23_360.png
Álex Remiro,Alejandro Remiro Gargallo,227127,82,84,27,192,79,28.0,34.0,42.0,79.0,79.0,76.0,85.0,83.0,GK,Right,Spain,La Liga,1,4,1,Real Sociedad,78.0,7.0,Balanced,Possession,72,3.8,Spain,https://cdn.sofifa.net/players/227/127/23_360.png
C. Pulisic,Christian Pulisic,227796,82,88,23,177,69,48.0,120.0,87.0,71.0,73.0,86.0,37.0,58.0,"LW, RW, LM",Right,United States,Premier League,4,4,3,Chelsea,84.0,9.0,Balanced,Possession,78,16.5,England,https://cdn.sofifa.net/players/227/796/23_360.png
C. Pulisic,Christian Pulisic,227796,82,88,23,177,69,48.0,120.0,87.0,71.0,73.0,86.0,37.0,58.0,"LW, RW, LM",Right,United States,Premier League,4,4,3,Chelsea,84.0,9.0,Balanced,Possession,78,16.5,England,https://cdn.sofifa.net/players/227/796/23_360.png
André Silva,André Miguel Valente da Silva,228941,82,83,26,185,84,36.5,73.0,73.0,83.0,70.0,82.0,47.0,78.0,ST,Right,Portugal,Bundesliga,4,3,3,RB Leipzig,81.0,8.0,Press After Possession Loss,Balanced,78,15.5,Germany,https://cdn.sofifa.net/players/228/941/23_360.png
B. Chilwell,Ben Chilwell,229984,82,85,25,180,77,37.0,110.0,76.0,60.0,78.0,78.0,78.0,75.0,"LWB, LB",Left,England,Premier League,3,3,2,Chelsea,84.0,9.0,Balanced,Possession,70,2.8,England,https://cdn.sofifa.net/players/229/984/23_360.png
Lucas Mantela,Lucas Luciano Mantela Patrício,230182,82,82,22,183,77,27.0,33.0,35.0,85.0,85.0,87.0,77.0,79.0,GK,Right,Brazil,Serie A,1,3,1,Palmeiras,76.0,8.0,Pressure On Heavy Touch,Balanced,0,0.0,Italy,https://cdn.sofifa.net/players/230/182/23_360.png
Josué Chiamulera,Josué Durval Chiamulera Vaz,230375,82,82,30,185,80,25.0,23.0,78.0,43.0,56.0,64.0,85.0,79.0,CB,Right,Brazil,Serie A,2,3,1,Athletico PR,74.0,5.0,Balanced,Possession,0,0.0,Italy,https://cdn.sofifa.net/players/230/375/23_360.png
T. Abraham,Tammy Bakumo-Abraham,231352,82,86,24,195,86,44.0,77.0,83.0,80.0,66.0,78.0,36.0,80.0,ST,Right,England,Serie A,3,3,2,Roma,80.0,8.0,Balanced,Possession,73,7.5,Italy,https://cdn.sofifa.net/players/231/352/23_360.png
D. Dumfries,Denzel Justus Morris Dumfries,233096,82,84,26,188,80,34.5,73.0,83.0,63.0,70.0,73.0,78.0,89.0,"RWB, RM",Right,Netherlands,Serie A,2,3,3,Inter,83.0,9.0,Balanced,Forward Runs,70,2.2,Italy,https://cdn.sofifa.net/players/233/096/23_360.png
Lucas Paquetá,Lucas Tolentino Coelho de Lima,233927,82,87,24,180,72,46.0,77.0,72.0,77.0,79.0,85.0,69.0,77.0,"CAM, CM",Left,Brazil,Premier League,5,4,2,West Ham United,79.0,6.0,Balanced,Forward Runs,0,0.0,England,https://cdn.sofifa.net/players/233/927/23_360.png
A. Ramsdale,Aaron Ramsdale,233934,82,86,24,191,77,34.5,62.0,48.0,85.0,85.0,77.0,78.0,83.0,GK,Right,England,Premier League,1,3,1,Arsenal,80.0,7.0,Balanced,Possession,61,0.45,England,https://cdn.sofifa.net/players/233/934/23_360.png
A. Danjuma,Arnaut Danjuma Adam Groeneveld,236276,82,83,25,178,74,37.0,47.0,86.0,82.0,76.0,83.0,44.0,70.0,"ST, LM",Right,Netherlands,La Liga,4,4,1,Villarreal,80.0,8.0,Balanced,Balanced,0,0.0,Spain,https://cdn.sofifa.net/players/236/276/23_360.png
N. Mazraoui,Noussair Mazraoui,236401,82,85,24,183,65,38.5,59.0,81.0,66.0,77.0,82.0,76.0,74.0,RB,Right,Morocco,Bundesliga,3,3,2,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,0,0.0,Germany,https://cdn.sofifa.net/players/236/401/23_360.png
L. Martínez,Lisandro Martínez,239301,82,87,24,178,77,41.5,105.0,74.0,60.0,77.0,77.0,83.0,84.0,CB,Left,Argentina,Premier League,3,3,2,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,60,0.4,England,https://cdn.sofifa.net/players/239/301/23_360.png
Pedro Gonçalves,Pedro António Pereira Gonçalves,240950,82,87,24,173,77,46.0,20.0,76.0,81.0,80.0,84.0,58.0,65.0,"LW, RW, CM",Right,Portugal,Liga Portugal,4,4,1,Sporting CP,78.0,9.0,Pressure On Heavy Touch,Direct Passing,0,0.0,Portugal,https://cdn.sofifa.net/players/240/950/23_360.png
Ferran Torres,Ferran Torres García,241461,82,88,22,184,77,49.0,150.0,84.0,79.0,79.0,83.0,35.0,67.0,"LW, ST",Right,Spain,La Liga,4,4,1,FC Barcelona,84.0,10.0,Balanced,Possession,0,0.0,Spain,https://cdn.sofifa.net/players/241/461/23_360.png
M. Taremi,Mehdi Taremi,241788,82,82,29,185,83,30.5,24.0,78.0,80.0,76.0,81.0,38.0,73.0,"ST, CF",Right,Iran,Liga Portugal,4,4,1,Porto,78.0,10.0,Press After Possession Loss,Balanced,0,0.0,Portugal,https://cdn.sofifa.net/players/241/788/23_360.png
Pedro Porro,Pedro Antonio Porro Sauceda,243576,82,88,22,173,69,46.0,16.0,82.0,73.0,76.0,81.0,75.0,78.0,"RWB, RM",Right,Spain,Liga Portugal,3,3,1,Sporting CP,78.0,9.0,Pressure On Heavy Touch,Direct Passing,0,0.0,Portugal,https://cdn.sofifa.net/players/243/576/23_360.png
Dani Olmo,Daniel Olmo Carvajal,244260,82,87,24,179,72,46.0,59.0,67.0,76.0,81.0,86.0,50.0,59.0,"CAM, CF",Right,Spain,Bundesliga,4,4,3,RB Leipzig,81.0,8.0,Press After Possession Loss,Balanced,0,0.0,Germany,https://cdn.sofifa.net/players/244/260/23_360.png
J. Gvardiol,Joško Gvardiol,251517,82,89,20,185,80,56.0,44.0,81.0,54.0,69.0,74.0,82.0,83.0,"CB, LB",Left,Croatia,Bundesliga,3,4,1,RB Leipzig,81.0,8.0,Press After Possession Loss,Balanced,0,0.0,Germany,https://cdn.sofifa.net/players/251/517/23_360.png
D. Núñez,Darwin Gabriel Núñez Ribeiro,253072,82,89,23,187,80,61.5,120.0,90.0,82.0,69.0,77.0,42.0,86.0,"ST, LW",Right,Uruguay,Premier League,3,3,1,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,0,0.0,England,https://cdn.sofifa.net/players/253/072/23_360.png
Antony,Antony Matheus dos Santos,255475,82,88,22,172,63,49.0,130.0,90.0,75.0,75.0,86.0,46.0,70.0,"RW, RM",Left,Brazil,Premier League,5,2,3,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,0,0.0,England,https://cdn.sofifa.net/players/255/475/23_360.png
F. Wirtz,Florian Richard Wirtz,256630,82,91,19,176,72,66.0,38.0,78.0,73.0,80.0,86.0,51.0,60.0,"CAM, CM",Right,Germany,Bundesliga,4,4,2,Bayer 04 Leverkusen,80.0,8.0,Press After Possession Loss,Balanced,0,0.0,Germany,https://cdn.sofifa.net/players/256/630/23_360.png
Pepe,Kléper Laveran de Lima Ferreira,120533,81,81,39,188,79,4.6,12.0,77.0,51.0,60.0,61.0,81.0,87.0,CB,Right,Portugal,Liga Portugal,2,3,4,Porto,78.0,10.0,Press After Possession Loss,Balanced,86,13.5,Portugal,https://cdn.sofifa.net/players/120/533/23_360.png
Ł. Fabiański,Łukasz Fabiański,164835,81,81,37,190,83,2.9,39.0,49.0,71.0,71.0,82.0,82.0,81.0,GK,Right,Poland,Premier League,1,2,2,West Ham United,79.0,6.0,Balanced,Forward Runs,80,8.5,England,https://cdn.sofifa.net/players/164/835/23_360.png
C. Vela,Carlos Alberto Vela Garrido,169416,81,81,33,177,77,16.0,14.0,77.0,79.0,76.0,83.0,30.0,64.0,"RW, LW, CAM",Left,Mexico,Major League Soccer,4,2,3,Los Angeles FC,73.0,8.0,Press After Possession Loss,Balanced,82,22.5,Unknown,https://cdn.sofifa.net/players/169/416/23_360.png
J. Vertonghen,Jan Bert Lieve Vertonghen,172871,81,81,35,189,89,7.0,21.0,68.0,62.0,72.0,67.0,83.0,78.0,CB,Left,Belgium,Jupiler Pro League,3,3,3,Anderlecht,72.0,9.0,Pressure On Heavy Touch,Balanced,85,28.5,Unknown,https://cdn.sofifa.net/players/172/871/23_360.png
S. Mignolet,Simon Luc Hildebert Mignolet,173426,81,81,34,193,87,4.4,26.0,51.0,74.0,74.0,77.0,83.0,80.0,GK,Right,Belgium,Jupiler Pro League,1,3,3,Club Brugge,75.0,10.0,Pressure On Heavy Touch,Balanced,81,12.0,Unknown,https://cdn.sofifa.net/players/173/426/23_360.png
Rui Patrício,Rui Pedro dos Santos Patrício,178005,81,81,34,190,84,4.4,55.0,55.0,77.0,77.0,79.0,79.0,80.0,GK,Left,Portugal,Serie A,1,2,3,Roma,80.0,8.0,Balanced,Possession,83,17.5,Italy,https://cdn.sofifa.net/players/178/005/23_360.png
Adán,Antonio Adán Garrido,178086,81,81,35,190,94,2.9,9.0,55.0,78.0,78.0,82.0,83.0,79.0,GK,Left,Spain,Liga Portugal,1,3,2,Sporting CP,78.0,9.0,Pressure On Heavy Touch,Direct Passing,81,11.5,Portugal,https://cdn.sofifa.net/players/178/086/23_360.png
E. Cavani,Edinson Roberto Cavani Gómez,179813,81,81,35,185,77,11.0,37.0,61.0,83.0,68.0,72.0,51.0,73.0,ST,Right,Uruguay,La Liga,3,4,4,Valencia,76.0,7.0,Balanced,Balanced,87,48.5,Spain,https://cdn.sofifa.net/players/179/813/23_360.png
Rafael Tolói,Rafael Tolói,187598,81,81,31,185,75,17.5,55.0,67.0,52.0,59.0,65.0,83.0,82.0,CB,Right,Italy,Serie A,2,3,2,Atalanta,79.0,7.0,Press After Possession Loss,Forward Runs,77,9.0,Italy,https://cdn.sofifa.net/players/187/598/23_360.png
Coutinho,Philippe Coutinho Correia,189242,81,81,30,172,68,25.0,95.0,62.0,77.0,81.0,86.0,52.0,57.0,"CAM, LW, CM",Right,Brazil,Premier League,5,4,4,Aston Villa,79.0,5.0,Pressure On Heavy Touch,Forward Runs,86,56.0,England,https://cdn.sofifa.net/players/189/242/23_360.png
L. Hrádecký,Lukáš Hrádecký,190941,81,81,32,192,85,13.0,46.0,40.0,65.0,65.0,77.0,79.0,83.0,GK,Right,Finland,Bundesliga,1,3,3,Bayer 04 Leverkusen,80.0,8.0,Press After Possession Loss,Balanced,81,14.5,Germany,https://cdn.sofifa.net/players/190/941/23_360.png
N. Otamendi,Nicolás Hernán Gonzalo Otamendi,192366,81,81,34,182,78,8.5,18.0,64.0,57.0,64.0,59.0,83.0,84.0,CB,Right,Argentina,Liga Portugal,2,3,3,Benfica,79.0,10.0,Press After Possession Loss,Balanced,83,20.0,Portugal,https://cdn.sofifa.net/players/192/366/23_360.png
H. Mkhitaryan,Henrikh Mkhitaryan,192883,81,81,33,177,75,16.0,74.0,82.0,79.0,78.0,83.0,56.0,72.0,"CAM, CM",Right,Armenia,Serie A,4,5,3,Inter,83.0,9.0,Balanced,Forward Runs,85,39.0,Italy,https://cdn.sofifa.net/players/192/883/23_360.png
A. Areola,Alphonse Areola,193105,81,82,29,195,94,20.0,64.0,55.0,77.0,77.0,79.0,78.0,85.0,GK,Right,France,Premier League,1,3,2,West Ham United,79.0,6.0,Balanced,Forward Runs,79,13.0,England,https://cdn.sofifa.net/players/193/105/23_360.png
Neto,Norberto Murara Neto,194404,81,81,32,190,84,13.0,47.0,54.0,77.0,77.0,78.0,78.0,82.0,GK,Right,Brazil,Premier League,1,2,2,AFC Bournemouth,74.0,2.0,Balanced,Possession,80,10.0,England,https://cdn.sofifa.net/players/194/404/23_360.png
Marc Bartra,Marc Bartra Aregall,198141,81,81,31,184,73,17.5,44.0,71.0,61.0,73.0,73.0,81.0,76.0,CB,Right,Spain,Super Lig,3,3,3,Trabzonspor,76.0,6.0,Balanced,Possession,81,18.0,Turkey,https://cdn.sofifa.net/players/198/141/23_360.png
Pablo Sarabia,Pablo Sarabia García,198950,81,81,30,174,70,25.0,95.0,73.0,76.0,82.0,82.0,57.0,59.0,"RW, CAM, LW",Left,Spain,Ligue 1,4,4,2,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,80,18.5,France,https://cdn.sofifa.net/players/198/950/23_360.png
Danilo,Danilo Luiz da Silva,199304,81,81,30,184,78,22.0,100.0,73.0,67.0,73.0,74.0,82.0,78.0,"RB, CB",Right,Brazil,Serie A,3,4,2,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,78,10.5,Italy,https://cdn.sofifa.net/players/199/304/23_360.png
Danilo,Danilo Luiz da Silva,199304,81,81,30,184,78,22.0,100.0,73.0,67.0,73.0,74.0,82.0,78.0,"RB, CB",Right,Brazil,Serie A,3,4,2,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,78,10.5,Italy,https://cdn.sofifa.net/players/199/304/23_360.png
G. Xhaka,Granit Xhaka,199503,81,81,29,185,82,22.0,90.0,49.0,72.0,80.0,71.0,72.0,81.0,"CDM, CM",Left,Switzerland,Premier League,3,3,3,Arsenal,80.0,7.0,Balanced,Possession,82,27.5,England,https://cdn.sofifa.net/players/199/503/23_360.png
K. Volland,Kevin Volland,200610,81,81,29,174,85,25.5,70.0,71.0,84.0,79.0,80.0,46.0,84.0,"ST, CAM, CF",Left,Germany,Ligue 1,3,4,2,Monaco,77.0,8.0,Pressure On Heavy Touch,Possession,80,19.0,France,https://cdn.sofifa.net/players/200/610/23_360.png
Deulofeu,Gerard Deulofeu Lázaro,202477,81,81,28,177,73,26.5,28.0,90.0,80.0,76.0,86.0,30.0,66.0,"CF, ST",Right,Spain,Serie A,4,4,3,Udinese,75.0,4.0,Balanced,Possession,82,31.0,Italy,https://cdn.sofifa.net/players/202/477/23_360.png
M. Sabitzer,Marcel Sabitzer,204923,81,81,28,178,76,25.5,72.0,69.0,80.0,80.0,79.0,69.0,76.0,"CM, CDM, CAM",Right,Austria,Bundesliga,3,4,3,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,78,13.5,Germany,https://cdn.sofifa.net/players/204/923/23_360.png
M. Sabitzer,Marcel Sabitzer,204923,81,81,28,178,76,25.5,72.0,69.0,80.0,80.0,79.0,69.0,76.0,"CM, CDM, CAM",Right,Austria,Bundesliga,3,4,3,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,78,13.5,Germany,https://cdn.sofifa.net/players/204/923/23_360.png
J. Ward-Prowse,James Ward-Prowse,205569,81,81,27,173,66,27.5,69.0,59.0,73.0,86.0,77.0,67.0,73.0,CM,Right,England,Premier League,3,3,2,Southampton,75.0,4.0,Balanced,Balanced,78,15.0,England,https://cdn.sofifa.net/players/205/569/23_360.png
E. Višća,Edin Višća,205678,81,81,32,172,63,20.5,48.0,87.0,78.0,78.0,82.0,47.0,63.0,"RM, RW",Right,Bosnia and Herzegovina,Super Lig,4,4,2,Trabzonspor,76.0,6.0,Balanced,Possession,79,13.0,Turkey,https://cdn.sofifa.net/players/205/678/23_360.png
T. Savanier,Téji Tedy Savanier,205686,81,81,30,172,69,25.0,33.0,64.0,76.0,84.0,83.0,69.0,68.0,"CAM, CM",Right,France,Ligue 1,4,5,2,Montpellier,75.0,4.0,Balanced,Forward Runs,72,3.8,France,https://cdn.sofifa.net/players/205/686/23_360.png
L. Shaw,Luke Shaw,205988,81,82,26,181,75,27.5,115.0,76.0,56.0,80.0,79.0,80.0,80.0,LB,Left,England,Premier League,3,2,2,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,79,14.0,England,https://cdn.sofifa.net/players/205/988/23_360.png
M. Arnold,Maximilian Arnold,206511,81,82,28,184,74,25.0,55.0,65.0,80.0,78.0,78.0,77.0,75.0,"CDM, CM",Left,Germany,Bundesliga,3,2,2,VfL Wolfsburg,76.0,6.0,Press After Possession Loss,Possession,79,16.5,Germany,https://cdn.sofifa.net/players/206/511/23_360.png
Kepa,Kepa Arrizabalaga Revuelta,206585,81,84,27,189,85,25.5,86.0,34.0,85.0,85.0,78.0,78.0,80.0,GK,Right,Spain,Premier League,1,4,2,Chelsea,84.0,9.0,Balanced,Possession,80,15.5,England,https://cdn.sofifa.net/players/206/585/23_360.png
William Carvalho,William Silva de Carvalho,207566,81,81,30,187,79,21.5,30.0,43.0,66.0,78.0,75.0,76.0,83.0,"CDM, CM",Right,Portugal,La Liga,3,4,2,Real Betis,79.0,6.0,Press After Possession Loss,Possession,83,27.5,Spain,https://cdn.sofifa.net/players/207/566/23_360.png
Lucas Vázquez,Lucas Vázquez Iglesias,208618,81,81,31,173,70,18.5,140.0,82.0,73.0,80.0,80.0,73.0,69.0,"RB, RW",Right,Spain,La Liga,4,4,2,Real Madrid,85.0,10.0,Balanced,Balanced,82,26.0,Spain,https://cdn.sofifa.net/players/208/618/23_360.png
G. Laborde,Gaëtan Laborde,209519,81,81,28,181,78,26.5,61.0,74.0,81.0,76.0,79.0,40.0,79.0,ST,Left,France,Ligue 1,3,4,2,Nice,77.0,6.0,Press After Possession Loss,Possession,73,5.5,France,https://cdn.sofifa.net/players/209/519/23_360.png
A. Rabiot,Adrien Rabiot,210008,81,81,27,191,80,27.5,110.0,76.0,73.0,78.0,79.0,78.0,81.0,"CM, LM",Left,France,Serie A,3,3,2,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,81,23.5,Italy,https://cdn.sofifa.net/players/210/008/23_360.png
J. Hofmann,Jonas Hofmann,210324,81,81,29,176,73,25.5,40.0,73.0,76.0,80.0,80.0,64.0,72.0,"CAM, RM, LM",Right,Germany,Bundesliga,3,4,2,Borussia Mönchengladbach,78.0,5.0,Balanced,Possession,77,11.5,Germany,https://cdn.sofifa.net/players/210/324/23_360.png
A. Romagnoli,Alessio Romagnoli,210413,81,81,27,185,75,24.0,55.0,69.0,40.0,55.0,67.0,84.0,77.0,CB,Left,Italy,Serie A,2,3,2,Lazio,79.0,7.0,Press After Possession Loss,Possession,79,16.0,Italy,https://cdn.sofifa.net/players/210/413/23_360.png
N. Tagliafico,Nicolás Alejandro Tagliafico,211256,81,81,29,172,65,22.5,72.0,79.0,56.0,72.0,75.0,80.0,80.0,LB,Left,Argentina,Ligue 1,3,2,3,Olympique Lyonnais,78.0,8.0,Pressure On Heavy Touch,Possession,79,14.0,France,https://cdn.sofifa.net/players/211/256/23_360.png
M. Flekken,Mark Flekken,211738,81,81,29,195,87,17.5,30.0,31.0,82.0,82.0,74.0,80.0,81.0,GK,Right,Netherlands,Bundesliga,1,4,1,SC Freiburg,76.0,4.0,Balanced,Possession,68,0.9,Germany,https://cdn.sofifa.net/players/211/738/23_360.png
K. Demirbay,Kerem Demirbay,211748,81,81,28,183,75,25.5,65.0,69.0,76.0,81.0,82.0,71.0,72.0,"CM, CDM, CAM",Left,Germany,Bundesliga,4,4,2,Bayer 04 Leverkusen,80.0,8.0,Press After Possession Loss,Balanced,80,19.5,Germany,https://cdn.sofifa.net/players/211/748/23_360.png
O. Vlachodimos,Odisseas Vlachodimos,211990,81,83,28,188,81,22.0,15.0,43.0,67.0,67.0,78.0,78.0,84.0,GK,Right,Greece,Liga Portugal,1,3,1,Benfica,79.0,10.0,Press After Possession Loss,Balanced,70,1.7,Portugal,https://cdn.sofifa.net/players/211/990/23_360.png
R. Andrich,Robert Andrich,212242,81,82,27,186,86,26.5,57.0,63.0,77.0,76.0,73.0,79.0,85.0,"CDM, CM",Right,Germany,Bundesliga,3,4,2,Bayer 04 Leverkusen,80.0,8.0,Press After Possession Loss,Balanced,65,0.85,Germany,https://cdn.sofifa.net/players/212/242/23_360.png
José Sá,José Pedro Malheiro de Sá,212442,81,82,29,192,84,20.0,74.0,52.0,73.0,73.0,78.0,79.0,83.0,GK,Right,Portugal,Premier League,1,2,1,Wolverhampton Wanderers,78.0,5.0,Balanced,Forward Runs,76,7.5,England,https://cdn.sofifa.net/players/212/442/23_360.png
João Mário,João Mário Naval da Costa Eduardo,212814,81,81,29,179,73,25.5,20.0,70.0,72.0,82.0,83.0,69.0,70.0,"LM, CM",Right,Portugal,Liga Portugal,3,4,3,Benfica,79.0,10.0,Press After Possession Loss,Balanced,83,34.0,Portugal,https://cdn.sofifa.net/players/212/814/23_360.png
J. Tah,Jonathan Tah,213331,81,83,26,195,94,28.0,57.0,67.0,37.0,59.0,61.0,82.0,85.0,CB,Right,Germany,Bundesliga,2,4,2,Bayer 04 Leverkusen,80.0,8.0,Press After Possession Loss,Balanced,82,26.0,Germany,https://cdn.sofifa.net/players/213/331/23_360.png
Ricardo Horta,Ricardo Jorge da Luz Horta,213516,81,81,27,173,63,27.5,21.0,79.0,82.0,79.0,80.0,43.0,70.0,"CAM, CF, ST",Right,Portugal,Liga Portugal,3,3,1,Sporting Braga,76.0,8.0,Pressure On Heavy Touch,Direct Passing,76,11.0,Portugal,https://cdn.sofifa.net/players/213/516/23_360.png
M. Uribe,Andrés Mateus Uribe Villa,214047,81,81,31,183,77,21.0,19.0,75.0,76.0,75.0,79.0,80.0,82.0,"CM, CDM",Right,Colombia,Liga Portugal,3,4,1,Porto,78.0,10.0,Press After Possession Loss,Balanced,73,4.6,Portugal,https://cdn.sofifa.net/players/214/047/23_360.png
